household_id,district,latitude,longitude,distribution_date,household_size,baseline_fuel_kg_person_week,distance_to_market_km,elevation_m,usage_month_1,usage_month_2,usage_month_3,usage_month_4,usage_month_5,usage_month_6
HH-02216,Musanze,-1.470711,29.595319,04/11/2023,4.0,8.2,6.6,2084,13.5,13.2,13.6,12.7,16.4,11.1
HH-02583,Burera,-1.452974,29.765346,21/01/2024,5.0,12.4,7.9,2003,28.9,30.72,34.9,29.8,33.3,26.7
HH-01663,Gakenke,-1.652503,29.764647,30/03/2024,7.0,9.5,8.4,1956,55.2,58.3,58.5,46.8,57.3,54.0
HH-03028,Burera,-1.434321,29.739065,18/04/2023,5.0,9.6,3.2,1866,51.9,38.2,45.7,44.6,48.5,37.2
HH-04344,Rulindo,-1.799681,29.958393,10/02/2024,5.0,10.9,0.7,1887,26.8,26.0,26.5,22.4,26.6,17.9
HH-02681,Musanze,-1.540433,29.584909,29/05/2024,5.0,6.3,1.0,1773,12.9,17.0,12.3,13.2,12.9,13.1
HH-01766,Musanze,-1.503727,29.579738,19/04/2023,4.0,10.4,1.8,1685,19.5,21.1,15.3,17.8,20.1,18.6
HH-01124,Rulindo,-1.763794,30.004087,08/01/2024,5.0,9.8,1.4,1793,24.0,21.4,19.9,27.3,24.5,17.9
HH-04055,Rulindo,-1.781965,29.993126,30/09/2023,5.0,8.8,7.7,2192,40.1,41.9,43.6,40.1,34.8,38.1
HH-03762,Rulindo,-1.790846,30.050877,19/02/2024,2.0,9.6,4.3,1595,15.3,17.2,16.5,15.7,17.2,16.7
HH-01536,Nyabihu,-1.598141,29.497657,26/01/2024,6.0,12.0,10.8,2205,57.9,60.5,68.8,55.8,73.4,68.6
HH-02945,Rulindo,-1.708209,30.067153,25/05/2024,4.0,8.4,1.4,1682,14.1,13.5,15.2,14.5,17.1,16.3
HH-02988,Burera,-1.433456,29.835506,08/03/2023,4.0,6.9,1.5,2053,28.3,21.7,26.4,25.6,24.7,24.7
HH-04292,Nyabihu,-1.639748,29.512431,07/05/2023,3.0,12.8,3.6,2509,18.1,21.9,17.6,18.4,15.0,13.3
HH-04343,Rulindo,-1.738876,29.981064,17/01/2023,6.0,6.6,3.4,1837,21.8,20.4,20.6,15.5,19.380000000000003,18.6
HH-04425,Musanze,-1.500512,29.624178,28/10/2023,7.0,11.1,2.1,1704,55.5,62.1,65.8,61.1,74.5,82.0
HH-07942,Burera,-1.453522,29.705235,03/06/2023,8.0,9.7,4.4,1745,62.0,68.0,61.4,68.84,83.9,68.9
HH-04998,Musanze,-1.45133,29.614929,27/01/2023,5.0,6.1,3.9,1800,32.1,24.9,26.5,25.1,26.5,30.3
HH-02749,Rulindo,-1.77222,29.982423,16/09/2023,5.0,10.4,3.8,1817,22.5,22.3,23.2,26.5,20.0,28.2
HH-02303,Burera,-1.409374,29.715698,23/06/2024,4.0,9.1,2.5,1945,25.9,24.7,25.2,25.3,24.7,28.5
HH-03933,Burera,-1.40039,29.81043,20/02/2023,3.0,7.6,0.9,1880,12.8,9.0,8.4,12.8,10.1,9.6
HH-05957,Musanze,-1.454169,29.599923,07/06/2024,4.0,9.8,0.7,1985,35.7,34.3,33.5,38.6,33.7,28.9
HH-06132,Rulindo,-1.703627,30.014902,17/07/2023,5.0,6.3,4.7,1717,29.8,25.5,24.6,26.7,26.8,23.8
HH-07597,Nyabihu,-1.603169,29.504712,13/06/2024,5.0,8.2,2.3,2624,37.0,35.1,39.5,37.3,40.1,32.9
HH-00795,Nyabihu,-1.643259,29.470857,18/03/2024,5.0,7.0,3.9,2140,29.1,29.0,37.4,35.0,28.7,27.7
HH-03164,Burera,-1.435173,29.787613,09/08/2023,3.0,7.9,3.6,2171,19.8,21.6,26.0,19.9,22.1,23.8
HH-07941,Musanze,-1.540565,29.634863,29/01/2024,4.0,9.5,3.4,1774,20.0,18.7,21.1,20.2,18.3,14.6
HH-03182,Musanze,-1.499191,29.570776,18/04/2023,4.0,9.0,5.7,1662,32.760000000000005,33.8,34.6,29.4,30.2,35.8
HH-00764,Rulindo,-1.784542,29.963846,25/03/2023,5.0,8.9,16.6,1964,37.8,41.1,34.5,34.4,48.1,37.0
HH-03079,Nyabihu,-1.613411,29.468736,06/08/2023,5.0,11.8,1.7,2362,26.5,30.5,30.3,23.3,29.4,20.1
HH-00812,Rulindo,-1.714489,30.05366,04/04/2023,8.0,9.5,1.0,1813,68.9,70.4,72.6,71.6,68.5,70.4
HH-07260,Musanze,-1.524866,29.64688,05/03/2023,4.0,8.0,2.8,1614,32.6,27.1,31.0,28.9,32.6,27.1
HH-06932,Nyabihu,-1.575684,29.537545,14/02/2024,6.0,10.6,2.3,2580,54.8,52.3,49.3,52.7,61.1,48.1
HH-01619,Burera,-1.432723,29.744194,24/11/2023,3.0,10.3,0.8,1816,23.4,27.6,23.9,31.1,28.9,29.8
HH-06827,Nyabihu,-1.601857,29.481875,03/06/2024,5.0,12.0,10.5,2390,29.8,29.5,36.2,28.0,27.4,22.8
HH-01043,Musanze,-1.531568,29.694394,23/06/2024,6.0,7.1,0.6,1772,22.9,21.9,19.2,24.1,20.1,18.7
HH-05319,Nyabihu,-1.572406,29.502174,07/01/2024,3.0,8.7,3.5,2194,21.5,26.7,24.0,23.0,21.0,22.9
HH-04795,Musanze,-1.541447,29.699438,10/08/2023,4.0,10.9,13.4,1881,31.7,40.9,46.1,46.7,37.5,41.7
HH-00488,Musanze,-1.499922,29.607333,19/01/2023,5.0,6.2,2.3,1970,16.1,13.1,13.5,16.8,11.7,12.5
HH-01018,Burera,-1.429936,29.706486,18/02/2024,4.0,7.9,5.1,1759,26.5,27.7,28.4,24.2,31.4,33.7
HH-02816,Rulindo,-1.720567,30.1,08/08/2023,3.0,10.9,1.7,1925,14.1,16.4,16.6,15.2,13.5,12.6
HH-02717,Burera,-1.485891,29.845396,05/08/2023,3.0,7.7,1.9,2050,10.1,14.4,11.3,10.8,10.4,12.5
HH-05364,Rulindo,-1.720341,29.96848,31/03/2024,6.0,7.7,1.0,1555,22.7,20.0,17.1,23.4,19.7,20.0
HH-02930,Musanze,-1.493879,29.638685,20/06/2023,5.0,12.5,13.6,1848,49.9,49.3,60.8,53.4,60.4,49.3
HH-03363,Rulindo,-1.718059,30.033445,09/01/2024,5.0,6.1,3.6,2052,28.9,25.3,30.9,33.0,31.4,25.1
HH-05166,Gakenke,-1.679227,29.823159,29/01/2024,5.0,7.8,1.7,2148,22.6,13.8,17.0,15.7,22.2,15.4
HH-01076,Musanze,-1.537986,29.648151,22/10/2023,3.0,11.5,1.7,1971,20.3,16.4,12.0,19.7,15.5,16.7
HH-06399,Musanze,-1.454069,29.646413,07/09/2023,5.0,4.9,10.2,2127,24.0,23.9,20.7,19.4,23.6,20.8
HH-04982,Musanze,-1.452269,29.60854,11/01/2023,5.0,10.9,4.0,1776,24.8,27.3,24.8,29.1,29.0,28.5
HH-06229,Rulindo,-1.721707,30.058463,13/06/2024,6.0,11.6,1.7,1908,43.7,31.7,26.6,31.1,31.0,36.1
HH-02922,Rulindo,-1.776029,30.075948,01/06/2023,4.0,7.3,0.5,2135,14.1,14.6,15.7,14.0,15.9,10.8
HH-04020,Musanze,-1.528006,29.586886,17/12/2023,5.0,10.1,3.2,1973,25.2,21.7,25.6,18.9,28.0,25.2
HH-04332,Nyabihu,-1.628357,29.518454,19/02/2024,4.0,9.7,1.2,2579,34.480000000000004,36.9,29.3,36.1,39.4,30.7
HH-07000,Burera,-1.43514,29.700728,26/10/2023,2.0,10.3,1.1,1952,18.1,17.4,17.9,17.2,16.8,18.7
HH-01323,Gakenke,-1.609704,29.755893,08/08/2023,2.0,9.1,1.3,2191,16.6,16.5,13.4,15.5,16.3,15.5
HH-07732,Nyabihu,-1.556953,29.545256,14/09/2023,4.0,12.2,11.5,2446,24.9,23.6,26.9,25.9,19.0,27.4
HH-02253,Rulindo,-1.72579,30.047079,26/08/2023,5.0,7.6,1.0,2042,18.4,23.3,17.8,15.9,18.8,15.7
HH-06655,Musanze,-1.535144,29.593792,13/11/2023,5.0,7.5,8.0,2145,22.2,23.8,18.8,18.0,17.1,19.3
HH-07245,Musanze,-1.514935,29.684167,25/09/2023,5.0,9.1,2.2,1956,33.8,42.2,39.8,39.2,46.0,38.0
